<<<<<<< HEAD
warehouseId,warehouseName,productId,productName,category,year,month,monthName,season,monthlyAvgStock,monthlyDemand
6a4aafd65d55632e1d3ac18d,Katraj,6a37a7f8a648dfdc0d8b7053,Amul Milk,Dairy,2022,1,January,Winter,304,291
6a4aafd65d55632e1d3ac18d,Katraj,6a37a7f8a648dfdc0d8b7053,Amul Milk,Dairy,2022,2,February,Winter,329,310
6a4aafd65d55632e1d3ac18d,Katraj,6a37a7f8a648dfdc0d8b7053,Amul Milk,Dairy,2022,3,March,Summer,341,319
6a4aafd65d55632e1d3ac18d,Katraj,6a37a7f8a648dfdc0d8b7053,Amul Milk,Dairy,2022,4,April,Summer,361,338
6a4aafd65d55632e1d3ac18d,Katraj,6a37a7f8a648dfdc0d8b7053,Amul Milk,Dairy,2022,5,May,Summer,306,278
6a4aafd65d55632e1d3ac18d,Katraj,6a37a7f8a648dfdc0d8b7053,Amul Milk,Dairy,2022,6,June,Summer,339,326
6a4aafd65d55632e1d3ac18d,Katraj,6a37a7f8a648dfdc0d8b7053,Amul Milk,Dairy,2022,7,July,Monsoon,270,244
6a4aafd65d55632e1d3ac18d,Katraj,6a37a7f8a648dfdc0d8b7053,Amul Milk,Dairy,2022,8,August,Monsoon,275,259
6a4aafd65d55632e1d3ac18d,Katraj,6a37a7f8a648dfdc0d8b7053,Amul Milk,Dairy,2022,9,September,Monsoon,297,270
6a4aafd65d55632e1d3ac18d,Katraj,6a37a7f8a648dfdc0d8b7053,Amul Milk,Dairy,2022,10,October,Autumn,261,253
6a4aafd65d55632e1d3ac18d,Katraj,6a37a7f8a648dfdc0d8b7053,Amul Milk,Dairy,2022,11,November,Autumn,283,268
6a4aafd65d55632e1d3ac18d,Katraj,6a37a7f8a648dfdc0d8b7053,Amul Milk,Dairy,2022,12,December,Winter,294,280
6a4aafd65d55632e1d3ac18d,Katraj,6a37a7f8a648dfdc0d8b7053,Amul Milk,Dairy,2023,1,January,Winter,333,298
6a4aafd65d55632e1d3ac18d,Katraj,6a37a7f8a648dfdc0d8b7053,Amul Milk,Dairy,2023,2,February,Winter,309,290
6a4aafd65d55632e1d3ac18d,Katraj,6a37a7f8a648dfdc0d8b7053,Amul Milk,Dairy,2023,3,March,Summer,323,311
6a4aafd65d55632e1d3ac18d,Katraj,6a37a7f8a648dfdc0d8b7053,Amul Milk,Dairy,2023,4,April,Summer,349,334
6a4aafd65d55632e1d3ac18d,Katraj,6a37a7f8a648dfdc0d8b7053,Amul Milk,Dairy,2023,5,May,Summer,359,333
6a4aafd65d55632e1d3ac18d,Katraj,6a37a7f8a648dfdc0d8b7053,Amul Milk,Dairy,2023,6,June,Summer,343,319
6a4aafd65d55632e1d3ac18d,Katraj,6a37a7f8a648dfdc0d8b7053,Amul Milk,Dairy,2023,7,July,Monsoon,279,263
6a4aafd65d55632e1d3ac18d,Katraj,6a37a7f8a648dfdc0d8b7053,Amul Milk,Dairy,2023,8,August,Monsoon,298,272
6a4aafd65d55632e1d3ac18d,Katraj,6a37a7f8a648dfdc0d8b7053,Amul Milk,Dairy,2023,9,September,Monsoon,283,257
6a4aafd65d55632e1d3ac18d,Katraj,6a37a7f8a648dfdc0d8b7053,Amul Milk,Dairy,2023,10,October,Autumn,343,306
6a4aafd65d55632e1d3ac18d,Katraj,6a37a7f8a648dfdc0d8b7053,Amul Milk,Dairy,2023,11,November,Autumn,318,297
6a4aafd65d55632e1d3ac18d,Katraj,6a37a7f8a648dfdc0d8b7053,Amul Milk,Dairy,2023,12,December,Winter,328,310
6a4aafd65d55632e1d3ac18d,Katraj,6a37a7f8a648dfdc0d8b7053,Amul Milk,Dairy,2024,1,January,Winter,343,324
6a4aafd65d55632e1d3ac18d,Katraj,6a37a7f8a648dfdc0d8b7053,Amul Milk,Dairy,2024,2,February,Winter,326,305
6a4aafd65d55632e1d3ac18d,Katraj,6a37a7f8a648dfdc0d8b7053,Amul Milk,Dairy,2024,3,March,Summer,365,338
6a4aafd65d55632e1d3ac18d,Katraj,6a37a7f8a648dfdc0d8b7053,Amul Milk,Dairy,2024,4,April,Summer,389,373
6a4aafd65d55632e1d3ac18d,Katraj,6a37a7f8a648dfdc0d8b7053,Amul Milk,Dairy,2024,5,May,Summer,403,369
6a4aafd65d55632e1d3ac18d,Katraj,6a37a7f8a648dfdc0d8b7053,Amul Milk,Dairy,2024,6,June,Summer,369,349
6a4aafd65d55632e1d3ac18d,Katraj,6a37a7f8a648dfdc0d8b7053,Amul Milk,Dairy,2024,7,July,Monsoon,308,288
6a4aafd65d55632e1d3ac18d,Katraj,6a37a7f8a648dfdc0d8b7053,Amul Milk,Dairy,2024,8,August,Monsoon,288,257
6a4aafd65d55632e1d3ac18d,Katraj,6a37a7f8a648dfdc0d8b7053,Amul Milk,Dairy,2024,9,September,Monsoon,297,285
6a4aafd65d55632e1d3ac18d,Katraj,6a37a7f8a648dfdc0d8b7053,Amul Milk,Dairy,2024,10,October,Autumn,319,290
